Life expectancy ,Adult Mortality,GDP
65,263,584.25921
59.9,271,612.696514
59.9,268,631.744976
59.5,272,669.959
59.2,275,63.537231
58.8,279,553.32894
58.6,281,445.8932979
58.1,287,373.3611163
57.5,295,369.835796
57.3,295,272.56377
57.3,291,25.2941299
57,293,219.1413528
56.7,295,198.7285436
56.2,3,187.84595
55.3,316,117.49698
54.8,321,114.56
77.8,74,3954.22783
77.5,8,4575.763787
77.2,84,4414.72314
76.9,86,4247.61438
76.6,88,4437.17868
76.2,91,494.358832
76.1,91,4114.136545
75.3,1,437.539647
75.9,9,363.13685
74.2,99,35.1293
73.5,15,279.142931
73,17,2416.588235
72.8,18,189.681557
73.3,15,1453.642777
73.6,14,1326.97339
72.6,11,1175.788981
75.6,19,4132.76292
75.4,11,547.8517
75.3,112,5471.866766
75.1,113,5564.82566
74.9,116,5432.2523
74.7,119,4463.394675
74.4,123,3868.83123
74.1,126,495.254866
73.8,129,3935.183343
73.4,132,3464.6179
72.9,136,31.122378
72.3,14,2598.9823
71.7,146,294.33556
71.6,145,1774.33673
71.4,145,1732.857979
71.3,145,1757.17797
52.4,335,3695.793748
51.7,348,479.31224
51.1,355,484.616884
56,358,4598.249988
51,361,4299.12889
49.6,365,3529.53482
49.1,369,3347.84485
48.7,371,3868.578883
48.2,375,2878.837144
47.7,381,262.415149
47.4,382,1443.991929
47.1,386,141.86844
46.8,388,779.468356
46.5,391,711.181716
45.7,44,526.168743
45.3,48,555.2969419
76.4,13,13566.9541
76.2,131,12888.29667
76.1,133,12224.86416
75.9,134,12565.44197
75.7,136,11929.34991
75.6,138,12126.87614
75.4,14,1312.46692
75.2,142,1473.31923
75,144,14252.29452
74.8,145,12724.39377
74.6,147,11371.93895
74.4,149,1352.8374
74.2,151,9739.82556
74,153,9386.716452
73.8,154,9358.154162
73.6,156,9875.161736
76.3,116,13467.1236
76.2,118,12245.25645
76,119,12976.63642
75.9,12,12969.7712
75.7,12,12726.9836
75.5,121,1276.265
75.6,126,8161.36966
75.4,126,8953.359275
74.8,129,7193.61764
75.2,127,5878.76127
74.9,127,576.883829
74.7,13,4251.574348
74.1,137,333.4376
74.1,138,2579.193168
74,138,717.694674
74.1,137,7669.273916
74.8,118,369.654776
74.6,12,3994.712355
74.4,123,3843.591213
74.4,121,3684.8481
73.9,128,3526.978143
73.5,132,3218.381655
73.3,137,2993.832531
73.2,14,41.26997
73.5,132,3138.8873
72.9,141,2158.299
73,137,1643.758397
73,132,1191.96192
72.7,134,93.1661567
72.6,134,783.261699
72.6,141,694.435119
72,142,622.7427477
82.8,59,56554.3876
82.7,6,62214.6912
82.5,61,67792.3386
82.3,61,67677.63477
82,63,62245.129
81.9,64,51874.848
81.7,66,42742.99898
81.3,66,49664.6854
81.3,66,4991.98289
81.2,66,36118.28381
81,67,3416.71483
86,69,3472.37977
83,71,23465.38559
79.9,73,281.81763
79.9,75,19517.84168
79.5,78,2169.921
81.5,65,43665.947
81.4,66,51322.63997
81.1,68,554.71532
88,7,48333.57273
88,73,51126.74139
84,75,46657.629
82,77,47654.18721
84,76,51386.37665
81,8,46586.6525
79.8,81,443.99361
79.4,85,38242.4252
79.3,86,36693.4262
78.8,88,3212.9355
78.7,9,26351.37568
78.6,92,24489.73553
78.1,96,24517.26745
72.7,118,55.31382
72.5,119,7891.299776
72.2,121,7875.756953
71.9,123,7496.335728
71.6,125,7189.691229
71.1,13,5842.85784
78,132,495.294791
73,141,5574.6382
73,14,3851.437869
69.2,154,2473.85776
68.4,162,1578.4239
68.4,154,145.2163
67.8,154,883.6439965
67.8,146,763.73858
67.5,151,73.6838434
66.6,16,655.974326
74.4,111,1657.3228
74.2,113,16462.48556
74.1,115,15646.5591
73.9,117,14223.86576
73.8,119,12868.8639
73.7,121,1228.5447
73.5,123,11675.39395
73.4,125,11513.87189
73.3,127,11568.1111
72.3,196,5949.11677
72,199,8318.429294
71.7,23,7978.825443
71.9,194,694.243915
72,232,6519.71753
73,222,63.38877
70,226,5176.172649
70,224,6376.183153
76.9,69,22688.87824
76.8,7,24983.3792
76.7,7,251.18329
76.5,71,23649.36661
76.1,76,2281.1242
76.1,73,2722.1389
76,74,19356.67236
75.8,76,2367.56535
75.6,77,2977.1153
75.5,79,1937.99549
75.3,81,17959.17854
75.2,83,15846.47641
75,85,14221.99259
74.9,87,1312.33457
74.7,9,12868.211
74.5,92,13636.34668
71.8,129,121.15812
71.4,132,184.56543
71,135,951.8894535
77,137,856.342857
73,14,835.789341
69.9,142,757.6717572
69.5,144,681.125368
69.1,147,615.7775411
68.6,151,541.651484
68.2,152,494.51466
67.8,155,484.155471
67.3,158,46.7579167
66.8,161,432.7388972
66.3,164,4.6135745
65.8,168,42.5981152
65.3,173,45.63371
75.5,98,15557.8381
75.4,1,15359.66971
75.2,11,15472.7814
75.1,12,15384.8749
74.9,14,15534.1574
74.7,16,1595.91232
74.6,19,16523.32388
74.4,111,1657.3228
74.2,113,16462.48556
74.1,115,15646.5591
73.9,117,14223.86576
73.8,119,12868.8639
73.7,121,1228.5447
73.5,123,11675.39395
73.4,125,11513.87189
73.3,127,11568.1111
72.3,196,5949.11677
72,199,8318.429294
71.7,23,7978.825443
71.9,194,694.243915
72,232,6519.71753
73,222,63.38877
70,226,5176.172649
70,224,6376.183153
69.8,226,4735.484827
68.9,243,3848.215966
68.1,252,3126.71767
68.2,247,2378.33927
67.7,253,1819.525644
67.2,262,1479.383142
67.7,254,1244.373185
68,247,1276.28834
81.1,74,4356.875
89,76,47439.39684
87,77,4651.38647
83,78,4474.5717
83,8,4772.77415
80,81,4438.23741
79.8,85,4488.5615
79.5,87,48424.58927
79.5,86,4443.83131
79.4,85,38852.3613
78.9,89,36967.28292
78.8,91,35589.71295
78.3,95,3743.95693
78,99,2552.3328
78,1,23121.56635
77.6,11,2327.4591
71,175,4849.997495
70,177,4852.223666
69.8,18,4688.538443
69.4,189,4673.63848
69.4,188,4516.24675
69.5,186,4344.15177
69.5,184,4258.788611
69.6,181,447.22796
69.6,181,4324.876427
69.4,184,4187.3783
69,191,3933.332215
68.7,197,3831.53819
68.4,21,3679.99523
68.5,199,3556.561825
68.2,21,3419.275719
68.3,196,3364.423711
60,249,783.94791
59.7,252,943.686575
59.5,251,915.2674586
59.3,251,837.9551
59.1,251,825.9427854
58.7,254,757.695974
58.4,259,793.45243
57.6,278,82.1513498
57.1,283,76.535419
56.8,284,625.8392
56.5,285,61.799977
56.1,285,583.493514
55.8,285,519.2922847
55.6,283,418.6985763
55.5,281,378.73654
55.4,279,374.1923942
69.8,211,2613.645177
69.4,216,2522.7968
69.1,219,235.882889
68.7,223,2422.816
68.3,225,2458.45976
67.9,228,2178.921383
67.4,232,177.234497
67,234,1795.18137
66.5,238,1741.142552
65.8,245,1335.45696
